"","lambda.slope.decline","lambda.mean.drought","MAT_1215","MAP_1215","PAS_1215","CMD_1215","Tave_wt_1215","Tave_sm_1215","PPT_wt_1215","PPT_sm_1215"
"lambda.slope.decline",1,-0.289643684968811,0.322764384706888,-0.275020000948487,-0.00640803650847485,0.245987258618339,0.357721258779588,0.0733978467650843,-0.26788430660196,0.309137595295667
"lambda.mean.drought",-0.289643684968811,1,0.130272035405159,0.417787138450328,-0.112469984546386,-0.264626869730649,-0.0324810045339297,0.614230076940766,0.634898153268751,-0.40052621142804
"MAT_1215",0.322764384706888,0.130272035405159,1,-0.573807625130412,-0.516305857828471,0.695876355060175,0.967030689529133,0.566422154838331,-0.35117890551882,-0.307023541127457
"MAP_1215",-0.275020000948487,0.417787138450328,-0.573807625130412,1,0.337036948405668,-0.660026095982539,-0.73690221561115,0.206340533695908,0.83090114408006,0.052784323398625
"PAS_1215",-0.00640803650847485,-0.112469984546386,-0.516305857828471,0.337036948405668,1,-0.288464406126902,-0.499351624150765,-0.424212712539998,0.0410952059205985,0.22511746766319
"CMD_1215",0.245987258618339,-0.264626869730649,0.695876355060175,-0.660026095982539,-0.288464406126902,1,0.727924732913088,0.194315503206862,-0.531202025102523,-0.246772899871398
"Tave_wt_1215",0.357721258779588,-0.0324810045339297,0.967030689529133,-0.73690221561115,-0.499351624150765,0.727924732913088,1,0.366927549541073,-0.523138900308444,-0.174493978732983
"Tave_sm_1215",0.0733978467650843,0.614230076940766,0.566422154838331,0.206340533695908,-0.424212712539998,0.194315503206862,0.366927549541073,1,0.498674827589244,-0.475925894739427
"PPT_wt_1215",-0.26788430660196,0.634898153268751,-0.35117890551882,0.83090114408006,0.0410952059205985,-0.531202025102523,-0.523138900308444,0.498674827589244,1,-0.174460951474512
"PPT_sm_1215",0.309137595295667,-0.40052621142804,-0.307023541127457,0.052784323398625,0.22511746766319,-0.246772899871398,-0.174493978732983,-0.475925894739427,-0.174460951474512,1
